window_start,window_end,dataset_split,days_with_data,total_intake_kcal,total_workout_kcal,fm_start_kg,fm_end_kg,delta_fm_kg
2021-01-04,2021-01-17 00:00:00,TRAIN,14,26326,868,20.824,20.926,0.102
2021-01-11,2021-01-24 00:00:00,TRAIN,14,28970,2644,21.286,20.926,-0.360
2021-01-18,2021-01-31 00:00:00,TRAIN,14,31155.00,2232,20.926,20.926,0.000
2021-01-25,2021-02-07 00:00:00,TRAIN,14,34898.00,4012,20.926,20.926,0.000
2021-02-01,2021-02-14 00:00:00,TRAIN,14,36025.00,3556,20.926,20.926,0.000
2021-02-08,2021-02-21 00:00:00,TRAIN,14,34450.00,2639,20.926,19.302,-1.624
2021-02-15,2021-02-28 00:00:00,TRAIN,14,37018.00,7244,20.926,19.599,-1.327
2021-02-22,2021-03-07 00:00:00,TRAIN,14,31472.00,5543,19.236,19.814,0.578
2021-03-01,2021-03-14 00:00:00,TRAIN,14,26104,2884,19.644,19.817,0.173
2021-03-08,2021-03-21 00:00:00,TRAIN,14,26271.00,3903,19.895,19.937,0.042
2021-03-15,2021-03-28 00:00:00,TRAIN,14,24779.00,7494,19.829,19.496,-0.333
2021-03-22,2021-04-04 00:00:00,TRAIN,14,24131.00,10073,19.898,19.581,-0.317
2021-03-29,2021-04-11 00:00:00,TRAIN,14,25213.00,6947,19.522,19.712,0.190
2021-04-05,2021-04-18 00:00:00,TRAIN,14,25767.00,6033,19.618,19.604,-0.014
2021-04-12,2021-04-25 00:00:00,TRAIN,14,24350.00,6785,19.760,19.214,-0.546
2021-04-19,2021-05-02 00:00:00,TRAIN,14,25828.00,4016,19.483,19.204,-0.279
2021-04-26,2021-05-09 00:00:00,TRAIN,14,27107.00,4152,19.154,19.273,0.119
2021-05-03,2021-05-16 00:00:00,TRAIN,14,23350.00,3508,19.198,19.210,0.012
2021-05-10,2021-05-23 00:00:00,TRAIN,14,23505.00,3205,19.263,18.840,-0.423
2021-05-17,2021-05-30 00:00:00,TRAIN,14,24597.00,3327,19.100,18.840,-0.260
2021-05-24,2021-06-06 00:00:00,TRAIN,14,22671.00,3649,18.840,18.630,-0.210
2021-05-31,2021-06-13 00:00:00,TRAIN,14,25409.00,4073,18.606,18.848,0.242
2021-06-07,2021-06-20 00:00:00,TRAIN,14,25377.00,4556,18.662,19.058,0.396
2021-06-14,2021-06-27 00:00:00,TRAIN,14,22384.00,6283,18.922,18.844,-0.078
2021-06-21,2021-07-04 00:00:00,TRAIN,14,26293.00,5309,18.996,18.576,-0.420
2021-06-28,2021-07-11 00:00:00,TRAIN,14,26854.00,3574,18.782,18.449,-0.333
2021-07-05,2021-07-18 00:00:00,TRAIN,14,25877.00,6666,18.548,18.409,-0.139
2021-07-12,2021-07-25 00:00:00,TRAIN,14,28396.00,9049,18.430,18.282,-0.148
2021-07-19,2021-08-01 00:00:00,TRAIN,14,26971.00,9064,18.344,18.284,-0.060
2021-07-26,2021-08-08 00:00:00,TRAIN,14,25327.00,7872,18.282,18.290,0.008
2021-08-02,2021-08-15 00:00:00,TRAIN,14,24463.00,3998,18.284,18.605,0.321
2021-08-09,2021-08-22 00:00:00,TRAIN,14,26927.00,5365,18.290,18.576,0.286
2021-08-16,2021-08-29 00:00:00,TRAIN,14,27567.00,7115,18.710,18.686,-0.024
2021-08-23,2021-09-05 00:00:00,TRAIN,14,25764.00,7567,18.468,18.643,0.175
2021-08-30,2021-09-12 00:00:00,TRAIN,14,25274,6664,18.594,18.428,-0.166
2021-09-06,2021-09-19 00:00:00,TRAIN,14,26294.00,4799,18.643,18.506,-0.137
2021-09-13,2021-09-26 00:00:00,TRAIN,14,26703.00,3959,18.464,18.343,-0.121
2021-09-20,2021-10-03 00:00:00,TRAIN,14,27221.00,4836,18.440,18.194,-0.246
2021-09-27,2021-10-10 00:00:00,TRAIN,14,29516.00,8162,18.343,18.625,0.282
2021-10-04,2021-10-17 00:00:00,TRAIN,14,30048,9587,18.283,18.574,0.291
2021-10-11,2021-10-24 00:00:00,TRAIN,14,31932,7095,18.679,18.422,-0.257
2021-10-18,2021-10-31 00:00:00,TRAIN,14,29818.00,4756,18.543,18.431,-0.112
2021-10-25,2021-11-07 00:00:00,TRAIN,14,27831.00,5002,18.422,18.476,0.054
2021-11-01,2021-11-14 00:00:00,TRAIN,14,29354.00,4672,18.461,18.410,-0.051
2021-11-08,2021-11-21 00:00:00,TRAIN,14,27707.00,4070,18.461,18.656,0.195
2021-11-15,2021-11-28 00:00:00,TRAIN,14,27221.00,3844,18.410,19.204,0.794
2021-11-22,2021-12-05 00:00:00,TRAIN,14,25301.00,1804,18.819,19.262,0.443
2021-11-29,2021-12-12 00:00:00,TRAIN,14,23601.00,1346,19.220,19.030,-0.190
2021-12-06,2021-12-19 00:00:00,TRAIN,14,28306.00,4278,19.262,19.306,0.044
2021-12-13,2021-12-26 00:00:00,TRAIN,14,27787.00,5155,19.089,19.451,0.362
2021-12-20,2022-01-02 00:00:00,TRAIN,14,24713.00,3361,19.377,19.650,0.273
2021-12-27,2022-01-09 00:00:00,TRAIN,14,25813.00,5046,19.435,19.895,0.460
2022-01-03,2022-01-16 00:00:00,TRAIN,14,28252.00,6979,19.772,19.938,0.166
2022-01-10,2022-01-23 00:00:00,TRAIN,14,28803.00,5160,19.841,19.993,0.152
2022-01-17,2022-01-30 00:00:00,TRAIN,14,25703.00,4327,19.935,20.351,0.416
2022-01-24,2022-02-06 00:00:00,TRAIN,14,25026.00,3171,20.128,20.351,0.223
2022-01-31,2022-02-13 00:00:00,TRAIN,14,27400.00,3889,20.351,20.479,0.128
2022-02-07,2022-02-20 00:00:00,TRAIN,14,23199.00,4187,20.201,20.479,0.278
2022-02-14,2022-02-27 00:00:00,TRAIN,14,19905.00,2082,20.479,20.430,-0.049
2022-02-21,2022-03-06 00:00:00,TRAIN,14,21560.00,3990,20.479,20.677,0.198
2022-02-28,2022-03-13 00:00:00,TRAIN,14,21786.00,3510,20.456,20.677,0.221
2022-03-07,2022-03-20 00:00:00,TRAIN,14,20934.00,3634,20.677,20.404,-0.273
2022-03-14,2022-03-27 00:00:00,TRAIN,14,21804.00,8235,20.571,20.335,-0.236
2022-03-21,2022-04-03 00:00:00,TRAIN,14,24473.00,10786,20.370,20.431,0.061
2022-03-28,2022-04-10 00:00:00,TRAIN,14,21481.00,7419,20.346,20.339,-0.007
2022-04-04,2022-04-17 00:00:00,TRAIN,14,19873.00,6827,20.431,20.355,-0.076
2022-04-11,2022-04-24 00:00:00,TRAIN,14,24615.00,9793,20.339,19.983,-0.356
2022-04-18,2022-05-01 00:00:00,TRAIN,14,25543.00,12690,20.255,19.680,-0.575
2022-04-25,2022-05-08 00:00:00,TRAIN,14,25036.00,9132,19.909,19.342,-0.567
2022-05-02,2022-05-15 00:00:00,TRAIN,14,27319.00,4704,19.605,19.446,-0.159
2022-05-09,2022-05-22 00:00:00,TRAIN,14,26157.00,9775,19.362,19.305,-0.057
2022-05-16,2022-05-29 00:00:00,TRAIN,14,25364.00,13789,19.414,18.578,-0.836
2022-05-23,2022-06-05 00:00:00,TRAIN,14,26499.00,13875,19.246,18.454,-0.792
2022-05-30,2022-06-12 00:00:00,TRAIN,14,26708.00,10530,18.578,18.329,-0.249
2022-06-06,2022-06-19 00:00:00,TRAIN,14,27072.00,11993,18.380,17.416,-0.964
2022-06-13,2022-06-26 00:00:00,TRAIN,14,28798.00,12604,18.104,17.237,-0.867
2022-06-20,2022-07-03 00:00:00,TRAIN,14,30401.00,10409,17.311,16.792,-0.519
2022-06-27,2022-07-10 00:00:00,TRAIN,14,27947.00,10554,17.104,16.970,-0.134
2022-07-04,2022-07-17 00:00:00,TRAIN,14,27066.00,11617,16.792,16.644,-0.148
2022-07-11,2022-07-24 00:00:00,TRAIN,14,28332.00,11783,16.970,16.741,-0.229
2022-07-18,2022-07-31 00:00:00,TRAIN,14,26825.00,7452,16.620,16.819,0.199
2022-07-25,2022-08-07 00:00:00,TRAIN,14,25142.00,4673,16.741,16.789,0.048
2022-08-01,2022-08-14 00:00:00,TRAIN,14,26142.00,8273,16.819,16.820,0.001
2022-08-08,2022-08-21 00:00:00,TRAIN,14,27829.00,10347,16.910,16.908,-0.002
2022-08-15,2022-08-28 00:00:00,TRAIN,14,27368.00,8343,16.807,16.914,0.107
2022-08-22,2022-09-04 00:00:00,TRAIN,14,24444.00,8900,16.908,16.492,-0.416
2022-08-29,2022-09-11 00:00:00,TRAIN,14,23069.00,8517,16.914,16.255,-0.659
2022-09-05,2022-09-18 00:00:00,TRAIN,14,28643.00,8597,16.492,16.620,0.128
2022-09-12,2022-09-25 00:00:00,TRAIN,14,27769.00,5157,16.279,16.695,0.416
2022-09-19,2022-10-02 00:00:00,TRAIN,14,24812.00,3203,16.620,16.751,0.131
2022-09-26,2022-10-09 00:00:00,TRAIN,14,26025.00,6911,16.695,16.792,0.097
2022-10-03,2022-10-16 00:00:00,TRAIN,14,24838.00,10225,16.751,16.733,-0.018
2022-10-10,2022-10-23 00:00:00,TRAIN,14,27001.00,11724,16.902,16.484,-0.418
2022-10-17,2022-10-30 00:00:00,TRAIN,14,25848.00,8276,16.753,16.165,-0.588
2022-10-24,2022-11-06 00:00:00,TRAIN,14,23153.00,7405,16.482,16.133,-0.349
2022-10-31,2022-11-13 00:00:00,TRAIN,14,24083.00,8257,16.243,16.156,-0.087
2022-11-07,2022-11-20 00:00:00,TRAIN,14,23375.00,7362,16.017,16.012,-0.005
2022-11-14,2022-11-27 00:00:00,TRAIN,14,23686,8797,16.167,15.977,-0.190
2022-11-21,2022-12-04 00:00:00,TRAIN,14,22573.00,6033,16.012,15.827,-0.185
2022-11-28,2022-12-11 00:00:00,TRAIN,14,20188.00,5472,15.923,15.959,0.036
2022-12-05,2022-12-18 00:00:00,TRAIN,14,21618.00,8452,15.841,15.887,0.046
2022-12-12,2022-12-25 00:00:00,TRAIN,14,25191.00,6432,15.868,15.934,0.066
2022-12-19,2023-01-01 00:00:00,TRAIN,14,23989.00,4536,15.891,16.801,0.910
2022-12-26,2023-01-08 00:00:00,TRAIN,14,20977.00,5386,15.934,16.838,0.904
2023-01-02,2023-01-15 00:00:00,TRAIN,14,21560.00,5807,16.876,16.855,-0.021
2023-01-09,2023-01-22 00:00:00,TRAIN,14,22231.00,4039,16.781,16.741,-0.040
2023-01-16,2023-01-29 00:00:00,TRAIN,14,21955.00,4089,16.905,16.672,-0.233
2023-01-23,2023-02-05 00:00:00,TRAIN,14,22114.00,5894,16.649,16.722,0.073
2023-01-30,2023-02-12 00:00:00,TRAIN,14,25228,5935,16.685,16.732,0.047
2023-02-06,2023-02-19 00:00:00,TRAIN,14,24850,6135,16.748,16.989,0.241
2023-02-13,2023-02-26 00:00:00,TRAIN,14,22807,5783,16.632,17.222,0.590
2023-02-20,2023-03-05 00:00:00,TRAIN,14,21052.00,4165,17.007,17.177,0.170
2023-02-27,2023-03-12 00:00:00,TRAIN,14,18927.00,4965,17.201,17.600,0.399
2023-03-06,2023-03-19 00:00:00,TRAIN,14,20853.00,5502,17.186,17.574,0.388
2023-03-13,2023-03-26 00:00:00,TRAIN,14,19865.00,4519,17.626,17.614,-0.012
2023-03-20,2023-04-02 00:00:00,TRAIN,14,17311.00,5151,17.598,17.756,0.158
2023-03-27,2023-04-09 00:00:00,TRAIN,14,19202.00,4919,17.649,17.756,0.107
2023-04-03,2023-04-16 00:00:00,TRAIN,14,25911.00,5647,17.756,17.073,-0.683
2023-04-10,2023-04-23 00:00:00,TRAIN,14,26269.00,6924,17.756,17.073,-0.683
2023-04-17,2023-04-30 00:00:00,TRAIN,14,21566.00,6798,17.073,17.260,0.187
2023-04-24,2023-05-07 00:00:00,TRAIN,14,21617.00,6060,17.073,17.248,0.175
2023-05-01,2023-05-14 00:00:00,TRAIN,14,19724.00,6511,17.236,17.780,0.544
2023-05-08,2023-05-21 00:00:00,TRAIN,14,22337.00,10319,17.248,17.791,0.543
2023-05-15,2023-05-28 00:00:00,TRAIN,14,23223.00,10877,17.654,17.822,0.168
2023-05-22,2023-06-04 00:00:00,TRAIN,14,18830.00,9151,17.767,18.223,0.456
2023-05-29,2023-06-11 00:00:00,TRAIN,14,17571.00,14112,17.822,18.101,0.279
2023-06-05,2023-06-18 00:00:00,TRAIN,14,20259.00,13765,18.292,17.411,-0.881
2023-06-12,2023-06-25 00:00:00,TRAIN,14,22844.00,8661,17.901,17.567,-0.334
2023-06-19,2023-07-02 00:00:00,TRAIN,14,20672.00,6642,17.411,17.781,0.370
2023-06-26,2023-07-09 00:00:00,TRAIN,14,20939.00,4975,17.633,17.811,0.178
2023-07-03,2023-07-16 00:00:00,TRAIN,14,23068.00,3420,17.889,17.806,-0.083
2023-07-10,2023-07-23 00:00:00,TRAIN,14,25130.00,654,17.884,17.492,-0.392
2023-07-17,2023-07-30 00:00:00,TRAIN,14,22797.00,1339,17.546,17.736,0.190
2023-07-24,2023-08-06 00:00:00,TRAIN,14,20589,6620,17.545,17.948,0.403
