window_start,window_end,dataset_split,days_with_data,total_intake_kcal,total_workout_kcal,observed_deficit_kcal,lbm_avg_kg,fm_start_kg,fm_end_kg,delta_fm_kg,lbm_start_kg,lbm_end_kg,delta_lbm_kg,avg_daily_workout_kcal,y_deficit,days
2021-03-01,2021-03-14 00:00:00,TRAIN,12,21989,2337,-1673.775,71.93,19.644,19.817,0.173,71.98,71.45,-0.536,195,17978,14
2021-03-08,2021-03-21 00:00:00,TRAIN,14,26271.00,3903,-406.350,72.04,19.895,19.937,0.042,72.37,72.01,-0.360,279,21962,14
2021-03-15,2021-03-28 00:00:00,TRAIN,14,24779.00,7494,3221.775,72.04,19.829,19.496,-0.333,72.75,72.58,-0.166,535,20507,14
2021-03-29,2021-04-11 00:00:00,TRAIN,13,23575.00,6562,-1838.250,71.47,19.522,19.712,0.190,71.06,71.37,0.309,505,15175,14
2021-04-12,2021-04-25 00:00:00,TRAIN,14,24350.00,6785,5282.550,70.75,19.760,19.214,-0.546,71.23,71.91,0.682,485,22848,14
2021-04-26,2021-05-09 00:00:00,TRAIN,13,24767.00,4152,-1151.325,71.57,19.154,19.273,0.119,71.88,71.58,-0.301,319,19464,14
2021-06-07,2021-06-20 00:00:00,TRAIN,10,17052.00,4218,-3831.300,71.81,18.662,19.058,0.396,72.42,71.98,-0.441,422,9003,14
2021-06-14,2021-06-27 00:00:00,TRAIN,12,19423.00,6283,754.650,71.32,18.922,18.844,-0.078,71.80,72.06,0.260,524,13895,14
2021-06-28,2021-07-11 00:00:00,TRAIN,13,24718.00,3574,3221.775,70.24,18.782,18.449,-0.333,69.81,70.27,0.469,275,24366,14
2022-05-02,2022-05-15 00:00:00,TRAIN,12,23316.00,4313,1538.325,72.27,19.605,19.446,-0.159,71.79,72.27,0.476,359,20541,14
2022-10-17,2022-10-30 00:00:00,TRAIN,10,18469.00,5706,5688.900,69.56,16.753,16.165,-0.588,70.93,71.29,0.362,571,18452,14
2022-10-24,2022-11-06 00:00:00,TRAIN,10,16758.00,5594,3376.575,69.91,16.482,16.133,-0.349,70.02,70.05,0.032,559,14541,14
2023-01-16,2023-01-29 00:00:00,TRAIN,14,21955.00,4089,2254.275,71.26,16.905,16.672,-0.233,71.09,71.42,0.324,292,20120,14
2023-01-23,2023-02-05 00:00:00,TRAIN,13,20711.00,5748,-706.275,71.27,16.649,16.722,0.073,71.39,70.82,-0.572,442,14257,14
2023-01-30,2023-02-12 00:00:00,TRAIN,11,19653,5789,-454.725,71.06,16.685,16.732,0.047,71.77,71.54,-0.229,526,13409,14
2023-02-27,2023-03-12 00:00:00,TRAIN,13,17204.00,4965,-3860.325,72.55,17.201,17.600,0.399,73.34,72.67,-0.671,382,8379,14
2023-03-06,2023-03-19 00:00:00,TRAIN,14,20853.00,5502,-3753.900,72.20,17.186,17.574,0.388,72.76,72.06,-0.705,393,11597,14
2023-03-20,2023-04-02 00:00:00,TRAIN,12,14925.00,4232,-1528.650,71.67,17.598,17.756,0.158,71.94,72.55,0.613,353,9164,14
2023-07-24,2023-08-06 00:00:00,TRAIN,12,17077,6620,-3899.025,71.72,17.545,17.948,0.403,71.77,72.32,0.550,552,6558,14
2023-11-06,2023-11-19 00:00:00,TRAIN,14,29562.00,5046,-2196.225,73.69,18.716,18.943,0.227,73.55,74.04,0.498,360,22320,14
2023-12-04,2023-12-17 00:00:00,TRAIN,11,19360.00,3106,-5708.250,74.78,19.136,19.726,0.590,75.89,76.12,0.226,282,10546,14
2023-12-11,2023-12-24 00:00:00,TRAIN,10,18403.00,5845,-5137.425,74.89,19.291,19.822,0.531,74.92,75.02,0.104,585,7421,14
