window_start,window_end,dataset_split,days_with_data,total_intake_kcal,total_workout_kcal,fm_start_kg,fm_end_kg,delta_fm_kg
2021-01-04,2021-01-17 00:00:00,TRAIN,14,26326,868,20.824,20.926,0.102
2021-01-18,2021-01-31 00:00:00,TRAIN,14,31155.00,2232,20.926,20.926,0.000
2021-02-01,2021-02-14 00:00:00,TRAIN,14,36025.00,3556,20.926,20.926,0.000
2021-02-15,2021-02-28 00:00:00,TRAIN,14,37018.00,7244,20.926,19.599,-1.327
2021-03-01,2021-03-14 00:00:00,TRAIN,14,26104,2884,19.644,19.817,0.173
2021-03-15,2021-03-28 00:00:00,TRAIN,14,24779.00,7494,19.829,19.496,-0.333
2021-03-29,2021-04-11 00:00:00,TRAIN,14,25213.00,6947,19.522,19.712,0.190
2021-04-12,2021-04-25 00:00:00,TRAIN,14,24350.00,6785,19.760,19.214,-0.546
2021-04-26,2021-05-09 00:00:00,TRAIN,14,27107.00,4152,19.154,19.273,0.119
2021-05-10,2021-05-23 00:00:00,TRAIN,14,23505.00,3205,19.263,18.840,-0.423
2021-05-24,2021-06-06 00:00:00,TRAIN,14,22671.00,3649,18.840,18.630,-0.210
2021-06-07,2021-06-20 00:00:00,TRAIN,14,25377.00,4556,18.662,19.058,0.396
2021-06-21,2021-07-04 00:00:00,TRAIN,14,26293.00,5309,18.996,18.576,-0.420
2021-07-05,2021-07-18 00:00:00,TRAIN,14,25877.00,6666,18.548,18.409,-0.139
2021-07-19,2021-08-01 00:00:00,TRAIN,14,26971.00,9064,18.344,18.284,-0.060
2021-08-02,2021-08-15 00:00:00,TRAIN,14,24463.00,3998,18.284,18.605,0.321
2021-08-16,2021-08-29 00:00:00,TRAIN,14,27567.00,7115,18.710,18.686,-0.024
2021-08-30,2021-09-12 00:00:00,TRAIN,14,25274,6664,18.594,18.428,-0.166
2021-09-13,2021-09-26 00:00:00,TRAIN,14,26703.00,3959,18.464,18.343,-0.121
2021-09-27,2021-10-10 00:00:00,TRAIN,14,29516.00,8162,18.343,18.625,0.282
2021-10-11,2021-10-24 00:00:00,TRAIN,14,31932,7095,18.679,18.422,-0.257
2021-10-25,2021-11-07 00:00:00,TRAIN,14,27831.00,5002,18.422,18.476,0.054
2021-11-08,2021-11-21 00:00:00,TRAIN,14,27707.00,4070,18.461,18.656,0.195
2021-11-22,2021-12-05 00:00:00,TRAIN,14,25301.00,1804,18.819,19.262,0.443
2021-12-06,2021-12-19 00:00:00,TRAIN,14,28306.00,4278,19.262,19.306,0.044
2021-12-20,2022-01-02 00:00:00,TRAIN,14,24713.00,3361,19.377,19.650,0.273
2022-01-03,2022-01-16 00:00:00,TRAIN,14,28252.00,6979,19.772,19.938,0.166
2022-01-17,2022-01-30 00:00:00,TRAIN,14,25703.00,4327,19.935,20.351,0.416
2022-01-31,2022-02-13 00:00:00,TRAIN,14,27400.00,3889,20.351,20.479,0.128
2022-02-14,2022-02-27 00:00:00,TRAIN,14,19905.00,2082,20.479,20.430,-0.049
